character,frequency
P,l,a,i,n,t,e,x,t
a,79235
b,17212
c,23319
d,38853
e,119333
f,21261
g,21285
h,63768
i,66702
j,1176
k,8223
l,43369
m,23697
n,66781
o,70790
p,17886
q,1581
r,53586
s,65145
t,89894
u,27203
v,8730
w,22540
x,1063
y,17230
z,638
â,1
æ,23
è,3
é,5
œ,5
η,1
ο,1
ς,1
τ,1
ϰ,1
ו,1
ח,1
C,i,p,h,e,r,t,e,x,t
a,1581
b,53586
c,65145
d,89894
e,27203
f,8730
g,22540
h,1063
i,17230
j,638
k,79235
l,17212
m,23319
n,38853
o,119333
p,21261
q,21285
r,63768
s,66702
t,1176
u,8223
v,43369
w,23697
x,66781
y,70790
z,17886
â,1
æ,23
è,3
é,5
œ,5
η,1
ο,1
ς,1
τ,1
ϰ,1
ו,1
ח,1
